time,total,tagged,residual,relative,gross_residual,gross_relative,scale,nonpositive_fraction,residual_at_spin_up,residual_since_spin_up,relative_since_spin_up
0.0,1.1298739844259547e8,1.1298739844259542e8,4.470348358154297e-8,3.9565017159196814e-16,3.488170169374527e-9,3.0872205373829646e-17,1.1298739844259547e8,0.0,NaN,NaN,NaN
3600.0,1.1305828499613734e8,1.13059146046245e8,-861.0501076579094,-7.615984159739619e-6,45060.90390488162,0.0003985634834848338,1.1305828499613734e8,0.0,-861.0501076579094,0.0,0.0
7200.0,1.1313032692312236e8,1.1313210902422622e8,-1782.1011038571596,-1.57526381504067e-5,51812.864736573305,0.00045799270757683485,1.1313032692312236e8,0.0,-861.0501076579094,-921.0509961992502,-8.141503885383004e-6
10800.0,1.1319674381119692e8,1.1319956507336909e8,-2821.262172162533,-2.492352763139699e-5,59233.59699699111,0.0005232800432474277,1.1319674381119692e8,0.0,-861.0501076579094,-1960.2120645046234,-1.7316859111902544e-5
14400.0,1.1326151171528487e8,1.1326519823718423e8,-3686.521899357438,-3.2548761212233886e-5,84883.50313998386,0.0007494470262180746,1.1326151171528487e8,0.0,-861.0501076579094,-2825.4717916995287,-2.4946442519698644e-5
18000.0,1.1332712472584613e8,1.1333153255028445e8,-4407.82443831861,-3.889469929623418e-5,105560.92029421928,0.0009314709126308961,1.1332712472584613e8,0.0,-861.0501076579094,-3546.774330660701,-3.129678211849842e-5
21600.0,1.1339252815589178e8,1.1339787868459332e8,-5350.528701543808,-4.71859018275694e-5,138062.85468507907,0.0012175657155758146,1.1339252815589178e8,0.0,-861.0501076579094,-4489.478593885899,-3.959236703598119e-5
25200.0,1.1346796928361188e8,1.1347408643931766e8,-6117.155705779791,-5.391085911205506e-5,166728.2621700979,0.00146938614679322,1.1346796928361188e8,0.0,-861.0501076579094,-5256.1055981218815,-4.6322373012460514e-5
28800.0,1.1352753466420685e8,1.1353402779639474e8,-6493.132187888026,-5.7194337982353735e-5,165617.21976949662,0.001458828646806797,1.1352753466420685e8,0.0,-861.0501076579094,-5632.082080230117,-4.960983339318306e-5
32400.0,1.1358528366263877e8,1.1359200538136962e8,-6721.718730852008,-5.9177725442111655e-5,166576.921608833,0.0014665361236723717,1.1358528366263877e8,0.0,-861.0501076579094,-5860.6686231940985,-5.1597076964661655e-5
36000.0,1.1364168723724663e8,1.1364848005768183e8,-6792.820435196161,-5.9774019555121324e-5,195238.0101616439,0.0017180140044388012,1.1364168723724663e8,0.0,-861.0501076579094,-5931.770327538252,-5.2197133567320746e-5
39600.0,1.1370713158905402e8,1.1371356827766222e8,-6436.688608199358,-5.660760691301252e-5,222533.53330558454,0.0019570763081935543,1.1370713158905402e8,0.0,-861.0501076579094,-5575.638500541449,-4.9035081816083606e-5
43200.0,1.1376460216480128e8,1.1377038408963439e8,-5781.924833104014,-5.082358416485492e-5,231528.17540397818,0.0020351512772714894,1.1376460216480128e8,0.0,-861.0501076579094,-4920.874725446105,-4.3254884487862444e-5
46800.0,1.1381201999849291e8,1.1381745481547403e8,-5434.816981121898,-4.77525746506728e-5,237865.5428755732,0.0020899861269374096,1.1381201999849291e8,0.0,-861.0501076579094,-4573.766873463988,-4.0187028343092e-5
50400.0,1.1385608411019398e8,1.1386117295389704e8,-5088.843703061342,-4.469540422746471e-5,238732.36836687307,0.0020967906127512636,1.1385608411019398e8,0.0,-861.0501076579094,-4227.793595403433,-3.713278590638708e-5
54000.0,1.1390400050537288e8,1.1390881914379057e8,-4818.638417690992,-4.230438260562847e-5,289411.67303384986,0.0025408385284957417,1.1390400050537288e8,0.0,-861.0501076579094,-3957.588310033083,-3.4744945677710434e-5
57600.0,1.1395548981503086e8,1.1395988795268886e8,-4398.137657999992,-3.859522402245752e-5,388296.50132505974,0.0034074400623904212,1.1395548981503086e8,0.0,-861.0501076579094,-3537.087550342083,-3.103920272804213e-5
61200.0,1.1399206192480677e8,1.1399571693770012e8,-3655.0128933489323,-3.206374927896215e-5,402318.90519213385,0.0035293589606047986,1.1399206192480677e8,0.0,-861.0501076579094,-2793.962785691023,-2.451015218528129e-5
64800.0,1.1402766964434968e8,1.1403070498092975e8,-3035.336580067873,-2.661929853986348e-5,408185.5999464282,0.0035797065854239764,1.1402766964434968e8,0.0,-861.0501076579094,-2174.2864724099636,-1.906806022776336e-5
